Make,Model,Year,Price,Milage
GMC,Sierra 3500,2003,92663,30643
Shelby,GT350,1969,40621,247
Mercury,Mountaineer,1997,59627,34295
Saab,900,1984,36157,77176
Nissan,Frontier,2005,50558,75308
Ford,Taurus,1996,63536,43195
Acura,Integra,1995,42326,80670
BMW,M5,1993,58452,14927
Hummer,H1,2003,8136,44440
Suzuki,Daewoo Lacetti,2004,45424,8575
GMC,Safari,1992,55036,81932
Saab,9-3,2010,39891,93213
Toyota,Previa,1997,47262,43457
Volkswagen,Golf,2004,4575,75035
Ford,Contour,1997,69238,32616
Lincoln,Navigator,2012,60045,52793
Infiniti,G25,2012,71382,98759
Saab,9000,1992,26871,4018
Saab,9-3,2001,9805,66592
Volkswagen,Phaeton,2005,51187,37183
GMC,Sonoma,2000,54653,82525
BMW,X6,2013,72113,84843
Chevrolet,Suburban 1500,2006,43206,27641
Suzuki,Daewoo Lacetti,2008,73731,84844
BMW,X3,2010,43113,67239
Volvo,V40,2004,68873,87485
Honda,Accord,1990,46388,30188
Volkswagen,GTI,1988,58163,54682
Infiniti,FX,2007,25367,41770
Ford,Taurus,1989,42905,81307
Lincoln,Town Car,1992,31998,82832
Buick,Park Avenue,1993,90200,22556
Chrysler,Sebring,2000,60178,25132
Hummer,H2 SUV,2006,5485,35074
Mitsubishi,Eclipse,2000,45168,28816
Land Rover,LR3,2007,92004,46336
Mitsubishi,Chariot,1985,88689,98838
GMC,Sonoma,2004,58333,26347
Suzuki,SX4,2012,97455,12402
Toyota,Land Cruiser,2004,79811,5978
Kia,Optima,2009,41624,64561
Volvo,V70,2003,94596,82816
Oldsmobile,Intrigue,2002,26587,90926
Toyota,Prius,2003,52137,8144
Isuzu,i-Series,2006,67332,22040
Ford,F150,1999,72381,76556
Ford,F-Series,1989,1229,67028
GMC,Sierra 2500,2007,65097,79437
Chrysler,Town & Country,2009,92835,68823
Subaru,Loyale,1990,35188,8172
Nissan,Frontier,2004,79132,11624
Ford,Explorer,2001,1523,27804
Hillman,Minx Magnificent,1950,80006,77779
Infiniti,J,1996,97500,97183
Hummer,H1,1995,82977,27405
Chevrolet,G-Series 3500,1998,40789,19830
Mitsubishi,Truck,1990,17969,13976
Land Rover,Defender 110,1993,50706,44881
Ford,Probe,1993,89331,25872
Dodge,Ram 3500,2000,13311,21616
Scion,xA,2004,49371,10860
Mercury,Sable,1994,72046,19127
Ford,F350,2007,80529,81605
Pontiac,Firefly,1990,32583,55568
Volkswagen,Touareg,2005,2816,65574
Eagle,Talon,1991,26442,20143
Porsche,944,1988,27411,49604
Chrysler,Concorde,2000,75391,33997
GMC,Savana 3500,2005,64626,59062
Scion,tC,2010,80535,31642
Lincoln,MKS,2009,1077,3466
Nissan,Titan,2006,64372,83083
Infiniti,G35,2003,96980,47165
Chevrolet,Silverado 1500,2003,82301,27198
Saturn,S-Series,1993,26345,76701
Volkswagen,New Beetle,1999,63106,58638
Dodge,Neon,2002,69174,16470
Chevrolet,Volt,2011,97185,91646
Mercury,Cougar,1970,23547,64814
Ford,Expedition EL,2008,28074,84154
Volkswagen,Passat,2006,36122,20815
Ford,E150,2012,11052,56642
Volkswagen,Golf,1996,40346,73369
Toyota,Ipsum,2000,85045,62103
Toyota,Sienna,2009,55474,38153
Dodge,Dakota,1992,98335,75179
Volkswagen,GLI,2009,53510,24906
Porsche,911,1988,53423,61294
Lexus,GS,1996,77319,56698
Maserati,GranSport,2006,59234,54234
Jeep,Wrangler,1999,59166,25890
Buick,Estate,1989,48924,63
Jeep,Cherokee,1996,87635,71999
Isuzu,Rodeo,2004,75843,21696
Pontiac,G8,2008,36917,33767
Mazda,MX-3,1996,86987,68919
Audi,A4,2009,52480,52696
Mitsubishi,Lancer,2003,76105,55047
Mazda,MX-6,1989,83306,7591
BMW,3 Series,1998,78336,42212
Mitsubishi,Eclipse,2012,75023,16079
Oldsmobile,Cutlass Cruiser,1993,45818,36323
Saturn,Sky,2007,7361,31512
Volkswagen,Jetta,1998,97887,98146
BMW,X6,2011,2511,11284
Mercedes-Benz,E-Class,1989,80244,15945
Hyundai,Elantra,1999,25047,29891
Porsche,Boxster,2009,68278,97255
Mitsubishi,3000GT,1994,32232,28352
Ford,E-Series,2011,59722,60661
Toyota,Corolla,2009,70855,40310
Lincoln,Blackwood,2003,30921,39920
Chevrolet,Suburban 1500,2009,29389,48163
GMC,Rally Wagon 2500,1992,34239,29730
Pontiac,Grand Prix,1991,95075,72526
Nissan,Maxima,2008,41615,41328
Lincoln,Mark VIII,1998,12383,1809
Nissan,Frontier,2012,66452,95143
BMW,6 Series,2008,97850,99025
Mazda,MX-6,1992,36717,18399
Pontiac,Tempest,1961,7960,83164
Lexus,LX,1997,8852,18934
Dodge,Ram Van 3500,2001,21513,25172
Ram,C/V,2012,64571,41328
Chrysler,300M,2003,76875,34200
Toyota,Tundra,2007,62927,89724
BMW,7 Series,2001,11071,12059
Pontiac,Bonneville,2001,54287,43176
Acura,Integra,1997,64999,98822
Mazda,MX-5,2005,95041,7893
Ford,Econoline E250,1993,32597,89130
Buick,LaCrosse,2006,54786,17390
GMC,Yukon XL 1500,2003,71198,87908
Nissan,370Z,2011,11025,79506
Ford,Contour,1998,69474,27586
GMC,Savana Cargo Van,2006,16643,71033
Hyundai,Accent,2012,80684,72996
Chrysler,Town & Country,1999,68915,84044
Porsche,944,1983,99839,52313
Mercedes-Benz,C-Class,2010,49570,33472
Mercedes-Benz,SLS AMG,2012,15604,68536
Lincoln,Continental Mark VII,1992,82599,56300
Nissan,Rogue,2010,43385,26622
Mercedes-Benz,S-Class,2001,52911,78647
Pontiac,Bonneville,2000,63741,66997
Honda,Passport,1999,7797,21296
Pontiac,Firebird,1991,63166,56421
GMC,Safari,1997,2100,16057
Mazda,626,1992,52011,98057
Chrysler,New Yorker,1995,48615,37271
Dodge,Ram Van 3500,2000,50495,97505
Volkswagen,Jetta,2011,88069,1644
Chevrolet,Tahoe,2004,71994,54355
Land Rover,LR3,2008,86189,59013
GMC,Savana 1500,2000,56411,84840
Honda,Prelude,1995,34852,44477
Pontiac,Firebird Formula,1999,64505,7706
Suzuki,Esteem,1995,77524,65811
Nissan,Altima,1999,59577,24210
Bentley,Mulsanne,2011,52373,53517
Nissan,NX,1992,14420,74469
Chevrolet,Camaro,1967,13598,16121
Mazda,MX-5,1996,12801,55529
Toyota,MR2,2002,65151,84484
Lexus,LS Hybrid,2010,43671,99943
Land Rover,Range Rover,1990,57535,59202
Pontiac,Sunfire,2001,7175,96888
Mercedes-Benz,SLS-Class,2012,10518,28094
Plymouth,Grand Voyager,1998,35891,92730
Mercury,Mystique,1999,96575,79600
MG,MGB,1977,7512,15971
Honda,Civic,2005,4239,79543
Hyundai,Tiburon,2001,22425,62456
Mercury,Tracer,1999,58269,74164
Volkswagen,Golf,1993,16986,73195
Plymouth,Laser,1990,31869,41828
Chevrolet,Malibu,2003,1124,21984
Nissan,Maxima,1998,44927,82726
Subaru,SVX,1996,54447,37990
Volkswagen,riolet,1993,43878,96345
Toyota,Avalon,1996,96751,45907
Infiniti,QX,2012,47484,17705
Dodge,Caravan,1993,91989,76132
Isuzu,Hombre Space,1999,92562,81785
Chevrolet,Tahoe,2012,76287,73851
Chrysler,300,2009,97391,35312
Mercury,Villager,1998,6496,91093
Mazda,MX-6,1990,49028,94908
Dodge,Stratus,2002,35742,90694
Porsche,Boxster,2007,82685,90961
Lincoln,Mark VIII,1997,14728,46335
Dodge,Colt,1993,45338,15722
Chevrolet,Traverse,2009,75122,17502
Dodge,Ram Van 3500,1997,16594,79076
Lotus,Evora,2011,76541,79372
Nissan,350Z,2004,76041,30388
Lexus,ES,2000,66740,21151
Porsche,Cayenne,2008,66198,1775
Nissan,Pathfinder,2004,66100,37725
Lamborghini,Murciélago,2002,97283,31644
Pontiac,Bonneville,1986,13913,74167
Lexus,LS,1989,26373,25924
Cadillac,SRX,2010,45433,77850
Ford,Expedition,2002,95581,66850
Honda,S2000,2007,39578,59248
Cadillac,Seville,2004,61825,24291
Plymouth,Grand Voyager,1994,88791,29649
Chevrolet,Silverado,1999,1795,47713
Chevrolet,S10,1992,26731,82723
Volkswagen,Golf,1976,79346,29550
Ford,Focus,2006,93908,62240
Mazda,MPV,2001,81337,26310
Austin,Mini,1963,27867,89229
Mitsubishi,Pajero,1991,54877,56092
GMC,Suburban 1500,1996,42597,50613
Ferrari,612 Scaglietti,2009,29772,91247
Toyota,Sequoia,2006,87004,32573
Plymouth,Voyager,1993,15117,78476
Dodge,Ram 2500,2007,55341,2884
GMC,Sierra 1500,2002,46662,84664
Volkswagen,Jetta III,1993,24336,30529
Saturn,L-Series,2000,43416,43536
Cadillac,XLR-V,2006,25012,87973
Lincoln,Zephyr,2006,57588,96081
Subaru,Leone,1987,31165,55691
Toyota,Previa,1996,86935,7106
Lexus,GS,1998,83193,20543
GMC,Vandura 1500,1993,34658,55237
Lexus,RX,2000,75059,80261
Dodge,Avenger,1997,96947,6145
Chrysler,Fifth Ave,1993,58211,60565
Jaguar,XJ Series,1998,58687,45744
Chevrolet,Sportvan G20,1992,56655,45054
BMW,M5,2003,34322,26491
Spyker,C8 Double 12 S,2006,23373,64973
Nissan,Maxima,2004,14709,76073
Ford,Thunderbird,1986,21645,64875
Toyota,Corolla,2005,81444,90622
Pontiac,Firebird,1984,78048,37043
Pontiac,Grand Prix,2007,10078,77975
Chrysler,Sebring,2008,64491,12894
Audi,S4,2012,26880,21595
Nissan,Altima,2004,72677,48173
Saab,9-3,2010,2410,68458
Plymouth,Neon,2001,62927,56026
Audi,80,1991,38172,46667
GMC,Sierra 1500,2003,63596,66592
Ford,Taurus,2002,7233,27388
Lincoln,Blackwood,2002,88043,66259
Ford,E150,2012,9959,42336
Mercury,Grand Marquis,1987,29067,92109
Ford,Thunderbird,1992,58774,80421
Toyota,Celica,2003,91972,72930
Ford,F250,1993,74671,81546
Austin,Mini,1959,96632,22293
Mitsubishi,Precis,1990,12352,43138
Maserati,GranTurismo,2010,91229,81996
Chevrolet,3500,1997,25138,20466
Ford,Aerostar,1992,46567,43567
GMC,Sierra,2009,86512,87375
Pontiac,Firebird,1989,27501,98850
Nissan,GT-R,2010,89488,63088
Porsche,Cayenne,2006,22033,18830
Mitsubishi,Cordia,1985,11521,28786
Jeep,Cherokee,2000,74720,77014
Pontiac,Grand Prix,1983,7815,902
Buick,LaCrosse,2007,98996,83821
Acura,TSX,2007,25815,59499
Pontiac,Bonneville,1988,43356,85043
Lexus,IS,2009,77272,84854
Pontiac,Grand Prix,1964,3265,864
Suzuki,Aerio,2003,72921,56847
Chevrolet,Astro,1996,15803,42328
Infiniti,M,2010,72383,47171
Honda,Accord,1988,68179,63023
Subaru,Outback Sport,2002,52598,41519
Nissan,Xterra,2006,69635,13026
Bentley,Arnage,2009,15423,42109
Infiniti,FX,2012,34597,77990
Toyota,Camry Hybrid,2012,76838,77062
Chevrolet,Tahoe,2005,54054,70873
Land Rover,Range Rover Sport,2011,7049,35458
Chevrolet,Astro,1998,62809,41486
Chrysler,Crossfire Roadster,2006,20945,87734
Chevrolet,Corvette,1986,17938,37936
Audi,S4,2005,32223,66922
Saab,9-5,2010,13486,89990
Chevrolet,Express,2008,93775,7917
Nissan,350Z,2004,78474,64191
Toyota,Celica,2005,6241,61470
Mercedes-Benz,Sprinter 3500,2012,1755,67006
Subaru,Impreza,2005,84363,42729
Plymouth,Reliant,1981,43790,90916
BMW,X5,2002,13312,95354
Pontiac,Bonneville,1965,81370,73561
Toyota,Sienna,2012,20508,13649
Toyota,Camry,2002,1222,29811
Buick,Century,2002,59973,59255
Ford,Thunderbird,1958,72568,36477
Dodge,Neon,2004,42539,55444
Jeep,Commander,2006,65125,67266
Ford,Mustang,1970,11392,98772
Jeep,Comanche,1992,59079,31109
Chevrolet,Express 2500,2001,14502,22706
Chevrolet,Blazer,1993,20222,55067
GMC,Savana,2009,58118,8223
Mazda,B-Series,2001,52446,13272
Nissan,Altima,2008,18020,74256
Chevrolet,Suburban 2500,2010,88836,75180
Dodge,Ram Van B350,1993,68760,49132
Audi,TT,2009,91766,72605
Mercury,Cougar,1999,54301,83835
Mercedes-Benz,M-Class,2000,81345,88567
Mazda,Millenia,1995,26354,33383
Honda,Insight,2011,86870,75738
BMW,5 Series,2012,83693,2679
Mercury,Cougar,1988,32831,77846
Mercury,Sable,2002,15284,99494
Buick,Riviera,1986,8307,85941
GMC,Canyon,2010,55576,19310
Lotus,Esprit,1990,9892,25651
Eagle,Talon,1994,49710,77436
Ford,LTD,1986,20509,81241
Toyota,Camry,2005,19690,18808
Mazda,Mazda3,2009,38192,28332
Mercedes-Benz,Sprinter 3500,2012,61783,48204
Lamborghini,Murciélago,2007,68648,53085
Mercedes-Benz,R-Class,2011,50114,37135
Cadillac,SRX,2005,99664,99940
Hummer,H2,2009,80260,40268
GMC,Envoy XUV,2004,79672,2
BMW,X3,2010,45290,87701
Toyota,Tundra,2003,75444,3681
Hyundai,Scoupe,1993,29219,50174
Porsche,Cayenne,2003,80611,39655
Ford,E150,1984,52177,25603
Nissan,Quest,1997,88002,45045
Chevrolet,LUV,1979,2773,12180
Mazda,626,1987,38872,22972
Mitsubishi,Montero,1992,30170,88485
Jeep,Wrangler,1999,4443,59675
Scion,tC,2013,52378,50828
Nissan,Titan,2005,71466,51826
Mercedes-Benz,E-Class,1998,72721,42123
Acura,NSX,1993,20182,40234
Land Rover,Range Rover,2011,18658,25385
Scion,xD,2010,88633,79418
Toyota,4Runner,2011,92834,6867
Subaru,Legacy,2012,79598,63740
Volvo,S80,2003,5385,15057
Honda,Element,2009,6959,14731
Toyota,Corolla,1996,93479,57481
Ford,Excursion,2004,18325,68380
Jaguar,XJ Series,2002,30927,6696
Ford,Econoline E350,2002,61773,60336
Geo,Metro,1994,2180,16357
Chevrolet,Silverado 1500,2005,7364,34353
Infiniti,Q,2004,84621,38426
Chrysler,Concorde,2003,55198,59449
Mercury,Grand Marquis,2009,10907,8970
Fiat,Nuova 500,2012,88585,51916
Saab,9-3,2000,97371,36434
Mercury,Mountaineer,2002,42429,28223
Chevrolet,Express 3500,1996,64433,82293
Buick,Regal,1987,6009,59469
Nissan,Altima,2002,96124,78868
Honda,Element,2010,8073,45469
Toyota,Tercel,1998,50097,88056
Suzuki,Samurai,1992,53517,53648
Mercedes-Benz,S-Class,1985,13517,94444
Ford,Focus,2010,4255,20831
Ford,F250,1992,43648,4116
BMW,Alpina B7,2008,9727,3069
Oldsmobile,Bravada,1994,54439,4823
Volkswagen,Golf,1991,53909,97003
Mitsubishi,Pajero,2005,32740,13869
Mazda,MX-5,2009,78304,82681
Pontiac,Bonneville,1997,17755,42185
Toyota,MR2,1994,55676,49083
Ford,Econoline E250,1992,45431,53214
Chrysler,300M,1999,24181,36690
Ford,Escort,1985,87517,8537
Cadillac,Eldorado,1997,43058,25709
Ford,Contour,1997,75724,403
Mazda,323,1995,60831,63009
GMC,Jimmy,1994,68673,35287
Mercury,Grand Marquis,2004,1681,80171
Mercedes-Benz,C-Class,1998,84840,25060
Mazda,MPV,1997,22024,42755
Volkswagen,rio,1997,69097,22981
Lexus,ES,2012,20699,67204
Toyota,Venza,2011,83754,6548
Subaru,Forester,2002,59390,90479
Nissan,Frontier,2007,16259,533
Dodge,Charger,2007,98088,47595
Dodge,Caravan,1997,52325,66413
Mazda,MX-5,1992,79195,21773
Mitsubishi,Galant,1996,27762,62650
Hummer,H2,2009,65244,65201
Mitsubishi,Truck,1988,68684,66437
Acura,CL,2003,31156,4500
Nissan,Pathfinder,2008,4276,17428
Audi,TT,2008,58850,80985
Nissan,Maxima,1998,15722,46340
Chrysler,300,2007,18362,76292
Infiniti,G,2012,44000,39921
Mitsubishi,Eclipse,2008,66247,1356
Ford,Focus,2005,14328,49831
GMC,Envoy XL,2004,67638,57029
Ford,Econoline E350,2000,69842,31881
Dodge,Ram Van B250,1992,46740,54126
Lexus,ES,2004,40327,64741
Buick,Lucerne,2009,29084,15645
Isuzu,Trooper,1995,44483,48585
Plymouth,Sundance,1994,10748,14628
Chevrolet,1500,1994,19456,99659
Chevrolet,3500,1992,47882,85842
Oldsmobile,98,1992,59142,74008
Jeep,Comanche,1992,33568,67641
Buick,Park Avenue,2001,56687,54603
Dodge,Viper,2008,81341,16702
Ford,Mustang,1971,87995,1847
Buick,Coachbuilder,1991,72792,44809
Acura,TSX,2008,17921,6533
Saab,9-5,2005,22873,83005
Ford,Flex,2012,53831,66653
Honda,Accord,1986,30218,37935
Pontiac,GTO,1968,10323,49098
Chevrolet,Monte Carlo,1998,34656,9040
Toyota,Sienna,2000,66843,54080
Volvo,V40,2001,74846,19363
Audi,S8,2008,96579,49833
Chevrolet,Suburban 2500,2004,94871,23692
Honda,del Sol,1994,98686,55391
Porsche,911,2004,85196,17674
Lincoln,Town Car,2002,50877,83865
GMC,2500,1993,45937,86021
Lexus,RX,2001,28328,45396
Honda,Passport,1994,27162,56457
Plymouth,Voyager,1997,91745,78144
Ford,Crown Victoria,1992,98801,98922
Isuzu,Axiom,2003,60349,62080
Mitsubishi,Precis,1992,40035,27116
Nissan,240SX,1994,8977,4608
Ford,F250,1998,51187,7656
Honda,S2000,2004,79180,21064
Ford,Explorer,1991,33813,16373
Chevrolet,Silverado 1500,1999,32823,510
Ford,Windstar,2004,39247,61738
Mazda,RX-7,1985,55360,35117
Mitsubishi,Tundra,2009,92143,54965
Mitsubishi,Chariot,1990,8785,28063
Dodge,Avenger,2008,49961,78767
Volkswagen,New Beetle,2003,89635,9890
Ferrari,F430,2007,33631,22915
GMC,1500,1996,43118,41499
Mercury,Grand Marquis,2009,6412,33793
Suzuki,Forenza,2005,50296,31425
Chevrolet,Aveo,2009,73296,13443
Ford,F350,1994,61331,61619
Toyota,Tacoma,1999,60738,20565
Hyundai,Sonata,2011,42274,63122
Mercury,Grand Marquis,1999,51553,31179
Saab,900,1995,60083,74079
Chevrolet,G-Series G20,1995,98423,63583
Suzuki,Sidekick,1998,75899,46881
Oldsmobile,88,1993,91181,86986
Honda,Accord,2007,95124,90981
Volkswagen,GTI,1995,96216,10518
Acura,Integra,1999,41894,71456
Ford,Escort,1988,27044,55322
Mercedes-Benz,400E,1993,14426,47204
Audi,Q7,2007,95541,22093
Audi,100,1991,21766,74354
Lincoln,Continental Mark VII,1987,70687,12678
Chevrolet,G-Series 2500,1997,54205,58298
Chevrolet,Corvette,1969,6644,97608
Oldsmobile,Alero,2004,18216,11447
Ford,E150,1984,18088,9141
Chevrolet,Aveo,2011,26487,2524
Lexus,GS,1999,3343,66835
MINI,Countryman,2011,26681,27311
Kia,Sportage,2002,3423,93911
Nissan,Maxima,1993,58229,98590
Maserati,Gran Sport,2006,56804,46305
Cadillac,DeVille,2004,10466,71910
Peugeot,207,2006,85988,58226
Ford,E250,2011,86768,33935
Kia,Sedona,2011,23170,5828
Buick,Century,2001,21701,10686
Porsche,911,1995,31638,66372
Volkswagen,Passat,2002,39069,74401
Mercedes-Benz,S-Class,2008,85629,12637
Mercury,Sable,1988,42206,60171
Honda,Prelude,1995,63583,73162
Toyota,FJ Cruiser,2010,9110,72051
Ford,Excursion,2002,77985,72036
Jaguar,XJ Series,2000,39386,34234
Nissan,Versa,2009,35730,83392
Acura,RL,2012,65471,48221
Ford,Contour,1995,23724,61934
GMC,Yukon,2012,74912,48677
Suzuki,Grand Vitara,2007,32770,66025
Lexus,LS,1995,87374,92367
Ford,Taurus,1989,58731,22190
Mercedes-Benz,E-Class,1989,56201,80231
GMC,Savana 1500,2011,9531,34398
Pontiac,Sunfire,2004,1878,54541
Mitsubishi,Galant,1995,74445,34301
BMW,530,2002,85103,75782
GMC,Yukon XL 1500,2010,26888,63542
Toyota,Tundra,2010,24861,68721
Ford,F250,1984,62381,79113
GMC,Savana 3500,2008,45371,38917
Ford,LTD Crown Victoria,1993,44593,35539
Ford,Escort,1987,86528,49200
Saturn,L-Series,2002,66014,29978
Chevrolet,Malibu,2010,42374,56281
Suzuki,Vitara,2000,77596,13607
Volvo,S70,1999,61743,77623
Dodge,Sprinter,2008,63903,68274
GMC,Yukon,1992,50941,63364
Subaru,Tribeca,2006,39645,13946
Mercedes-Benz,600SEL,1993,81747,40838
Honda,Odyssey,1997,26517,68229
Mercedes-Benz,Sprinter,2010,48796,63449
Mazda,323,1992,20912,84042
Ford,Contour,1995,82984,85982
Honda,Odyssey,2000,6087,29350
Buick,Regal,1991,78084,87543
Audi,S4,2004,40097,41152
Nissan,Xterra,2005,74262,49411
Eagle,Premier,1992,96212,35601
Mercedes-Benz,G-Class,2012,65793,67992
Oldsmobile,Silhouette,2002,55311,23710
Mercedes-Benz,600SEL,1992,37083,59026
Honda,Accord,1994,46127,25927
Audi,A6,2009,25465,43134
Mercury,Sable,2000,10312,7002
Kia,Sportage,2002,3541,21355
Mercury,Cougar,1994,31528,91407
Ford,Econoline E350,1992,37299,4332
Fillmore,Fillmore,1960,62098,8480
Ford,Mustang,2009,10725,51460
Audi,V8,1991,10663,91868
Volkswagen,Eos,2012,98372,40147
Chevrolet,Venture,2002,88423,41199
Nissan,Quest,1995,26698,31963
Mercury,Milan,2011,28909,42880
Acura,RL,2007,25759,20116
Chrysler,300C,2005,18290,96320
Dodge,Ram 3500 Club,1995,89468,58638
Pontiac,Bonneville,1997,94735,67236
Saab,9-5,2004,73132,58454
GMC,Rally Wagon 3500,1992,47607,54759
Chevrolet,Camaro,1994,23830,8492
Honda,Pilot,2006,86793,73037
Cadillac,Escalade ESV,2011,99009,1415
Chevrolet,G-Series G20,1992,98579,85554
Buick,Skylark,1985,16649,54655
Plymouth,Prowler,2000,68095,85987
Cadillac,DeVille,1992,76035,67093
Mercedes-Benz,M-Class,1998,83940,34286
Chevrolet,Lumina,2000,70907,8739
Mercury,Grand Marquis,1993,60491,14626
Chevrolet,Tracker,2001,37749,64100
Mazda,B-Series,1989,20061,39766
Dodge,Ramcharger,1992,98892,41703
Mercedes-Benz,SLK-Class,2008,8815,77593
Audi,5000S,1987,32327,4287
Jeep,Commander,2007,5411,65970
Mercedes-Benz,M-Class,2008,94074,77163
Pontiac,GTO,1968,65840,29524
Honda,Accord,1985,40919,97891
